貼文時間,貼文ID,貼文內容,分享內容,讚數,分享數
2018-01-12 16:05:44+00:00,211037402285285_1662890860433258,"風裡雨裡，有我有你，
完整重播，週末陪你 ^ ^ 
-
2018五月天陪你跨年 Live直播完整版
https://youtu.be/zFORU39o4uU",五月天 阿信 shared 五月天 Mayday's post — feeling cold.,23167,12
2018-01-07 23:55:39+00:00,211037402285285_1658450104210667,"[ 最終場 . 達陣 ]

「你不是真正聽見下雨的聲音」，
最終場的大雨中，周杰倫和五月天呈現了這首組曲，
而我聽到的，卻是連續11個夜晚，30萬個熱情的吶喊與心跳。

影片中，你能看到所謂「傾盆大雨」不再是誇飾法，
每位社員，每位夥伴，始終都未曾離去。

橫跨2017-18的兩個月中，橫跨北美，上海，星城，桃園
我們總共唱了25場「人生無限公司」，每場超過3.5小時的演出，
對於我們的體力與耐力，都是絕無僅有的一次考驗。

這也是五月天生涯中，複雜度最高的一套演唱會，
更是最暢快淋漓的一次音樂呈現。

每一場，每一夜曲終謝幕之時，我依然深深覺得
不可思議。

如果不是你在場，
這一切不會成真。

-

而你們，都在。

感謝  必應創造 B'in Live
每場演唱會，最累的人，絕對不是五月天。
而是必應創造＆相信音樂的全體夥伴。北美七座城市的緊迫挑戰，上海五夜連續低溫，星城的三場酷熱搭台，他/她們挑戰各種高難度的製作條件，尤其桃園最終兩場的大雨，唯一的狀況只有左右大螢幕因雨故障，但也在驚人的兩分鐘內排除。請大家給他們最高的肯定！

感謝  林憶蓮 林俊傑 周杰倫 三位音樂人
感謝妳/你們的跨刀，給前來上班社員們難忘的驚喜。

感謝  所有單位
桃園市政府，桃園機場捷運，桃園消防局，桃園交通隊，桃園衛生局 
台灣高鐵公司，義交義警，lamigo棒球場與球團，場內外工讀生

最後，
請讓我誠摯感謝，前來現場的每一個「你」，
是你們讓這不可思議的演唱會成真，
讓五月天肆無忌憚地做夢。

五月天會繼續期待著，
你們帶著新的人生故事，來到下一次的相聚！

-
＃五月天人生無限公司
1/26-28 澳門 > 3/2 巴黎 > 3/4 倫敦 > 
6/2 新加坡 [無限放大版]... 場次陸續增加中
http://www.bin-music.com/events/mayday/2017MaydayLiFE/
-
[ 影片來源 完全娛樂 ShowBiz  很多五月天bonus要訂閱噢 ]",,127444,8721
2018-01-06 09:13:42+00:00,211037402285285_1656717094383968,"[ 不讓你回家 ]

巡演來到第十天。

在體育場演出總是瘋狂的、震撼的、多變的、刺激的、這十天，熱情沒有屋頂，加班沒有遲疑。

感謝大家陪我們每天都脫軌演出，
整個就是不按牌理出餐！（店經理不在）

也感謝林憶蓮Sandy與林俊傑JJ的熱情跨刀，
給現場的社員們留下獨一無二的回憶。

剩下今明兩天的大家，別忘了帶足外套帽子雨衣，因為我們天雨加歌，天冷加歌！
就是不讓你回家。

( 對了  新加坡的大家  要不要猜猜嘉賓是誰？）

-
2018 MAYDAY LIFE TOUR
五月天 [ 人生無限公司 ]  新加坡 無限放大版！
-
2018  6月2日 (星期六) 7:30 PM
新加坡國家體育場 Singapore National Stadium
$298, $248, $198, $168, $128, $98
 (Excludes booking charge)
-
www.sportshubtix.sg
+65 3158 7888
新加坡室內體育館售票處
及全島 SINGPOST 也可購票！
.

#一生活一場五月天 
#人生無限公司無限放大版",五月天 阿信 added 9 new photos — feeling challenged.,65714,944
2018-01-01 08:31:19+00:00,211037402285285_1651585061563838,"新的一年，我們要繼續
互相傷害，互相耍賴，互相吐槽，互相疼愛 : )  
新年快樂！   

-
ps. 這隻MV我們五個老骨頭拍了好久靠你們小骨頭轉發了噢

pps. 感謝憲哥跨刀演出，感謝導演小魏芬奇&8id團隊！",五月天 阿信 shared 相信音樂國際股份有限公司's video.,48494,69
2017-12-31 16:00:00+00:00,211037402285285_1650570641665280,"[ 繼續兄弟 20 年 ]

結果，一年又這樣過了呢。

你是否在心裡細數著，
過去的365天裡，自己的失去與獲得？

或是大而化之的拋開一切，
大步的邁向新的一年呢？

2017年，是我重新體會，
身旁擁有一群偉大的、可愛的、瘋狂的夥伴的一年。

也許是五月天的成軍20週年吧，
過去一年，做了很多回顧，也重新思索了，
一路上出現的每個人有多麼重要。

我很幸運，身旁始終有一群好「兄弟」，
他/她們是歲月淘洗之後，在你身邊始終沒有離去的人，他/她們是跨越了同事、同學、朋友的一種存在。

每當我遭遇瓶頸時，他們耐心陪伴，
每當我癡人說夢時，他們為我奔走圓夢。
陪我耍白痴、講幹話，
作著各種有意義或無意義的事?

( 我相信你身邊也有這種總是需要你Carry傢伙吧 )

如果你認為我說的
只是怪獸、石頭、冠佑、瑪莎，那你就錯了！
因為我說的也包括你/妳們阿！
就是現在讀到這裡的你！

一路陪伴五月天的「兄弟」們，
不論你們是女孩或男生，或是女的漢子男的閨蜜，
過去的20年，承蒙你們的照顧了！

歲月蜿蜒的前進著，
如今你我的生活各有戰場，
不過
因為有你，我們不知不覺也走到這裡了呢。

新的一年，舊的兄弟，
2018，請讓我們陪你們踏上全新的旅程吧。

新年快樂
讓我們
繼續兄弟20年！

-

#五月天自傳
#五月天兄弟
#一首歌迎接新年",,80058,5492
2017-12-25 14:13:09+00:00,211037402285285_1645436765512001,"耶誕快樂  新年快樂  
我會陪你到 2017 最後一秒。",五月天 阿信 shared 五月天 Mayday's post.,43946,44
2017-12-10 07:57:28+00:00,211037402285285_1631509540238057,"[ 早安 午安 晚安 ]

上海連續五場虹口回到台北，隔天就是早上七點的工作了，今天團員們看起來都頗有精神呢。（有可能只是假象）

感謝上海社員們的照顧，原本以為今年不可能辦成的演唱會，竟然也真的順利唱完了五個夜晚。（謝謝大家共同促成）

人生中最冷的一次演唱會經驗，就頒發給這次了，對於在凍寒夜風中工作的幕後英雄們，與執勤的公安與消防夥伴們，心中懷著深深的感謝與敬意。

早安、午安、晚安，回歸璀璨散去的日常，心中的回憶與悸動依然迴盪，平凡的日子，似乎也有那麼有那麼一點不同。

早安、午安、晚安，因為有你。

--

新加坡我們來了！
台北桃園我們來了！
巴黎倫敦我們都來了！

--
12/15-17 新加坡 > 12/23-1/7 桃園 > 1/26-28 澳門 > 3/2 巴黎 > 3/4 倫敦 場次陸續增加中",五月天 阿信 is feeling hungry.,48312,493
2017-12-08 10:35:32+00:00,211037402285285_1629728730416138,"「愛情是申論題，而不是是非題」
終於結束的起點是我寫過篇幅最長的情歌，
闡訴連綿不絕的戀人細語。

除了拼合手機的觀看方式，MV 帶大家看到頑固裡上班族男孩的愛情與棒球夢。

我很喜歡這樣的呈現方式，正如穿過我們生命的每個人，都有自己的動人傳記。

感謝 ELLA & 慷仁的演出，
感謝修毅導演、仙草影像。

你的傳記又是怎麼樣？
我也想要知道。",五月天 阿信 shared 五月天 Mayday's post.,48101,3
2017-12-06 15:35:16+00:00,211037402285285_1628017010587310,"[ 祝我生日快樂 ]

小時候，即便是我生日，到學校也什麼都不會說的。

因為我就是那種害怕被過生日的傢伙?。
對著我唱生日歌、在眾人面前許願、害羞的接受每個人的祝福?，一想到就想挖個地洞鑽進去阿。

不過，如果每年生日，都會被關心著我的大家逮到的話，那就乾脆來回顧一下，自己是否有什麼改變吧。我發現，自己：

「從前認為重要的事情，變得不重要了」
例如：速度、輸贏、結果?

「從前認為重要的事情，變得更重要了」
例如：健康、朋友、家人?

長大的世界，也許沒有想像中那麼無拘無束，
不知不覺，我和你都變成了歲月的形狀。
不過，也許正是那些千絲萬縷的羈絆，
讓珍貴的人生有失有得。

關於我，所有改變，
也許還有其他，也許你能告訴我。

關於我，不變的是，
我會努力，繼續寫出讓你動心的歌曲，
伴著你走你的精彩人生。

因為你們是我重要的羈絆。

-
ps. 照片就是漂亮的陳媽媽和我噢
ps2. 拍照的陳爸爸也是帥哥一枚噢
ps3. 謝謝大家的  #阿信生日快樂",,153316,2254
2017-12-06 10:32:53+00:00,211037402285285_1628226313910616,"[ 終於結束的起點 ] 右邊的她版
.
缺了妳的世界，只剩一半 ? 
擁有你的風景，才叫我們。 
- 
這部MV以兩支手機併在一起， 
再用同時播放的方式， 
傳達我們和你們「缺一不可」的心情。 
.
請找到一位朋友， 把你們的手機放在一起， 
左邊點開「左邊的他」， 
右邊點開「右邊的她」， 
以全螢幕同步按下播放， 
完整感受「終於結束的起點」。 
- 
ps. 謝謝大家祝我 ＃阿信生日快樂
ps2. 也來一起聽 陳嘉樺 Ella  ＃我的寶",,79296,12155
2017-12-06 09:47:47+00:00,211037402285285_1628186903914557,"[ 終於結束的起點 ] 左邊的他版
.
缺了妳的世界，只剩一半 ? 
擁有你的風景，才叫我們。 
- 
這部MV以兩支手機併在一起， 
再用同時播放的方式， 
傳達我們和你們「缺一不可」的心情。 
.
請找到一位朋友， 把你們的手機放在一起， 
左邊點開「左邊的他」， 
右邊點開「右邊的她」， 
以全螢幕同步按下播放， 
完整感受「終於結束的起點」。 
- 
ps. 謝謝大家祝我 ＃阿信生日快樂",,59933,6042
2017-12-01 13:47:14+00:00,211037402285285_1622925151096496,"[ 12月 ]

轉眼，十一月已經離去，我們也已經從世界的另外一面回來。這次被時差抓住的我，昏昏沈沈了兩三天，一直到今天，終於漸漸有了回魂的感覺。

然後總是惦記著還沒跟大家報個平安，說聲感謝。深秋夜聊。說的雖是流水的帳，懷的卻是感恩的心。

這次旅程，同樣收穫滿滿，溫哥華、聖荷西、洛杉磯、休士頓、芝加哥、紐約、多倫多，七個城市的社員們都無比熱情，場場都加班加歌加雞腿。

十二月，又是新的挑戰。此刻，窗外已經是魔都的夜景，我們更新了歌單，重整了行李，冷卻了技能，體力魔力都已經回補完成。

我知道很多人在等著我們，上海結束接著新加坡，再飛回桃園棒球場，迎接連續11夜的挑戰，過完年後再飛期待已久的巴黎與倫敦。想讓大家都忘懷跳躍、滿足感動，再累都值得。

我們會照顧好自己，正如你也要照顧好自己。十二月的夜，必定涼意襲人，想告訴你的是，別忘了多穿一件冬衣，以及那背後代表的千言萬語。

已經十二月了，你知道的。

.",,60244,851
